"Name in English","Countries","Degree of endangerment"
"Odut","Nigeria","Extinct"
"Old Prussian","Russian Federation","Extinct"
"Old Sirenik","Russian Federation","Extinct"
"Omagua (Brazil)","Brazil","Critically endangered"
"Ona","Argentina","Extinct"
"Ongkor Solon","China","Extinct"
"Opon-Carare","Colombia","Extinct"
"Orang Kanaq","Malaysia","Extinct"
"Palumata","Indonesia","Extinct"
"Panobo","Peru","Extinct"
"Papora","China","Extinct"
"Pentlatch","Canada","Extinct"
"Phalok","Thailand","Extinct"
"Pijao","Colombia","Extinct"
"Piru","Indonesia","Extinct"
"Polabian","Germany","Extinct"
"Pumpokol","Russian Federation","Extinct"
"Purisimeño","United States of America","Extinct"
"Pyu","Myanmar","Extinct"
"Quapaw","United States of America","Extinct"
"Quileute","United States of America","Extinct"
"Qwarenya","Ethiopia","Extinct"
"Rangkas","India","Extinct"
"Sanhaja of Srair","Morocco","Critically endangered"
"Sei","Sierra Leone","Extinct"
"Sened","Tunisia","Extinct"
"Sengmai","India","Extinct"
"Serrano","United States of America","Extinct"
"Seru","Malaysia","Extinct"
"Seward Peninsula Inupiaq (Big Diomede Island)","Russian Federation","Extinct"
"Singa","Uganda","Extinct"
"Siraiya","China","Extinct"
"Sishee","New Caledonia (France)","Extinct"
"Siuslaw","United States of America","Extinct"
"Slovincian","Poland","Extinct"
"Southeastern Pomo","United States of America","Extinct"
"Southern Kamchadal","Russian Federation","Extinct"
"Southern Khanty","Russian Federation","Extinct"
"Southern Mansi","Russian Federation","Extinct"
"Soyot","Russian Federation","Extinct"
"Subtiaba","Nicaragua","Extinct"
"Taman","Myanmar","Extinct"
"Tandia","Indonesia","Extinct"
"Taokas","China","Extinct"
"Te'un (Te'un Island)","Indonesia","Extinct"
"Tetete","Ecuador","Extinct"
"Tillamook","United States of America","Extinct"
"Togoyo","Sudan","Extinct"
"Tonjon","Côte d'Ivoire","Extinct"
"Torá","Brazil","Extinct"
"Tsetsaut","Canada","Extinct"
"Tunica","United States of America","Extinct"
"Tututni","United States of America","Extinct"
"Twana","United States of America","Extinct"
"Ubykh (Caucasus)","Russian Federation","Extinct"
"Ubykh (Turkey)","Turkey","Extinct"
"Umutina","Brazil","Extinct"
"Upper Chehalis","United States of America","Extinct"
"Upper Umpqua","United States of America","Extinct"
"Uruava","Papua New Guinea","Extinct"
"Urupá","Brazil","Extinct"
"Ventureño","United States of America","Extinct"
"Vilela","Argentina","Extinct"
"Wanai","Venezuela (Bolivarian Republic of)","Critically endangered"
"Wangkumara","Australia","Critically endangered"
"Wappo","United States of America","Extinct"
"Western Mansi","Russian Federation","Extinct"
"Wiyot","United States of America","Extinct"
"Xakriabá","Brazil","Extinct"
"Yaaku","Kenya","Extinct"
"Yameo","Peru","Extinct"
"Yir Yoront","Australia","Extinct"
"Yoba","Papua New Guinea","Extinct"
"Yola","Ireland","Extinct"
"Yug","Russian Federation","Extinct"
"Yuki","United States of America","Extinct"
"Yurats","Russian Federation","Extinct"
"Yurutí (Brazil)","Brazil","Extinct"
"Zeem","Nigeria","Extinct"
"|'Auni","South Africa","Extinct"
"|Xam","South Africa","Extinct"
"ǁKu ǁ'e","South Africa","Extinct"
"ǁKx'au","South Africa","Extinct"
"ǁXegwi","South Africa","Extinct"
"A'tong","India","Severely endangered"
"Aché","Paraguay","Definitely endangered"
"Akie","United Republic of Tanzania","Critically endangered"
"Akuriyo","Suriname","Critically endangered"
"Alemannic","Germany, Austria, France, Italy, Liechtenstein, Switzerland","Vulnerable"
"Amami","Japan","Definitely endangered"
"Amok","China, Lao People's Democratic Republic, Myanmar, Thailand","Critically endangered"
"Angku","Myanmar","Critically endangered"
"Auvergnat","France","Severely endangered"
"Balti","India, Pakistan","Vulnerable"
"Baraba Tatar","Russian Federation","Severely endangered"
"Baré (Venezuela)","Venezuela (Bolivarian Republic of)","Critically endangered"
"Bavarian","Germany, Austria, Hungary, Italy, Switzerland, Czech Republic","Vulnerable"
"Bay Islands Creole","Honduras","Critically endangered"
"Bellari","India","Critically endangered"
"Berbice Dutch Creole","Guyana","Critically endangered"
"Bhalesi","India","Definitely endangered"
"Brao","Cambodia, Lao People's Democratic Republic, Viet Nam","Severely endangered"
"Bungee","Canada","Critically endangered"
"Burgundian","France","Severely endangered"
"Cabiyarí","Colombia","Critically endangered"
"Cappadocian Greek (Greece)","Greece","Critically endangered"
"Carabayo","Colombia","Extinct"
"Cavineña","Bolivia (Plurinational State of)","Definitely endangered"
"Cayuga (Canada)","Canada","Critically endangered"
"Central Asian Arabic","Uzbekistan, Tajikistan, Afghanistan","Definitely endangered"
"Champenois","Belgium, France","Severely endangered"
"Chichimec","Mexico","Vulnerable"
"Chinook Jargon","United States of America","Critically endangered"
"Chiwere","United States of America","Extinct"
"Chuang","Cambodia","Critically endangered"
"Corfiot Italkian","Greece","Critically endangered"
"Cornish","United Kingdom of Great Britain and Northern Ireland","Critically endangered"
"Crimean Turkish","Ukraine","Severely endangered"
"Desano (Colombia)","Colombia","Definitely endangered"
"Domari","Egypt, Israel, Jordan, Lebanon, Libyan Arab Jamahiriya, Palestine, Syrian Arab Republic","Severely endangered"
"East Franconian","Germany, Czech Republic","Vulnerable"
"Eastern Mansi","Russian Federation","Critically endangered"
"En","Myanmar","Critically endangered"
"Even (Kamtchatka)","Russian Federation","Severely endangered"
"Even (Siberia)","Russian Federation","Severely endangered"
"Evenki (Northern Siberia)","Russian Federation","Severely endangered"
"Evenki (Sakhalin)","Russian Federation","Severely endangered"
"Evenki (Southern Siberia)","Mongolia, Russian Federation","Severely endangered"
"Figuig","Morocco","Vulnerable"
"Franc-Comtois","France, Switzerland","Severely endangered"
"Gagauz (Deli Orman)","Bulgaria","Critically endangered"
"Gagauz (South Balkans)","Greece, The former Yugoslav Republic of Macedonia, Turkey","Severely endangered"
"Gangou","China","Severely endangered"
"Gottscheerish","Slovenia","Critically endangered"
"Guaná","Paraguay","Critically endangered"
"Han (Canada)","Canada","Critically endangered"
"Homshetsma (Caucasus)","Georgia, Russian Federation","Severely endangered"
"Homshetsma (Turkey)","Turkey","Definitely endangered"
"Hulaula (Iran)","Iran (Islamic Republic of)","Extinct"
"Huron-Wyandot (Canada)","Canada","Critically endangered"
"Jad","India, Pakistan","Definitely endangered"
"Jahai","Malaysia","Critically endangered"
"Javindo Creole","Indonesia","Critically endangered"
"Jeju","Republic of Korea","Critically endangered"
"Jitnu","Colombia","Definitely endangered"
"Judezmo (Europe)","Albania, Algeria, Bosnia and Herzegovina, Bulgaria, Croatia, Greece, The former Yugoslav Republic of Macedonia, Morocco, Romania, Turkey, Serbia","Severely endangered"
"Juhur (Israel)","Israel","Definitely endangered"
"Kaurna","Australia","Critically endangered"
"Kensiw (Malaysia)","Malaysia","Critically endangered"
"Kentak","Malaysia","Critically endangered"
"Khasali","India","Definitely endangered"
"Kili","Russian Federation","Severely endangered"
"Koro","India","Definitely endangered"
"Kraol","Cambodia","Critically endangered"
"Kravet","Cambodia","Critically endangered"
"Krueng","Cambodia","Severely endangered"
"Kuay","Cambodia","Severely endangered"
"Kunigami","Japan","Definitely endangered"
"Lakota","Canada","Critically endangered"
"Langrong","India","Critically endangered"
"Lengua","Paraguay","Severely endangered"
"Livonian","Latvia","Critically endangered"
"Lorrain","Belgium, France","Severely endangered"
"Lua","Thailand","Definitely endangered"
"Macaguaje","Colombia","Extinct"
"Macuna (Colombia)","Colombia","Definitely endangered"
"Maká","Paraguay","Definitely endangered"
"Manda","India","Critically endangered"
"Manx","United Kingdom of Great Britain and Northern Ireland","Critically endangered"
"Mawayana (Guyana)","Guyana","Critically endangered"
"Menri'","Malaysia","Critically endangered"
"Michif","Canada","Critically endangered"
"Miraña (Colombia)","Colombia","Severely endangered"
"Miyako","Japan","Definitely endangered"
"Mohawk (Ganienkeh)","United States of America","Definitely endangered"
"Mohawk (Kahnawake)","Canada","Definitely endangered"
"Mohawk (Kanatsiohareke)","United States of America","Definitely endangered"
"Mohawk (Kanesatake)","Canada","Definitely endangered"
"Mohawk (Six nations)","Canada","Definitely endangered"
"Mohawk (Tyendinega)","Canada","Definitely endangered"
"Mohawk (Wahta)","Canada","Definitely endangered"
"Mok (Lao PDR)","Lao People's Democratic Republic","Definitely endangered"
"Mosquitia Creole","Nicaragua","Definitely endangered"
"Muinane","Colombia","Definitely endangered"
"Munsee (United States of America)","United States of America","Critically endangered"
"Nivaclé","Paraguay","Vulnerable"
"Nivkh (Amur)","Russian Federation","Critically endangered"
"Nogay (Crimea)","Ukraine","Severely endangered"
"Nogay (Dobruja)","Romania","Severely endangered"
"Nonuya","Colombia","Critically endangered"
"Norman","France","Severely endangered"
"Northern Altay","Russian Federation","Severely endangered"
"Northern Haida","Canada, United States of America","Critically endangered"
"Northwestern Otomí","Mexico","Vulnerable"
"Nukak","Colombia","Definitely endangered"
"Okinawan","Japan","Definitely endangered"
"Oneida (Canada)","Canada, United States of America","Critically endangered"
"Onondaga (Canada)","Canada, United States of America","Critically endangered"
"Padri","India","Vulnerable"
"Palaung","Myanmar","Severely endangered"
"Pale","Myanmar","Severely endangered"
"Panamanian Creole","Panama","Definitely endangered"
"Pashayi","Afghanistan","Vulnerable"
"Peco' Creole","Indonesia","Critically endangered"
"Phnong","Cambodia","Severely endangered"
"Poitevin-Saintongeais","France","Severely endangered"
"Potawatomi (Canada)","Canada","Critically endangered"
"Purik","India, Pakistan","Vulnerable"
"Quinault","United States of America","Extinct"
"Rama Cay Creole","Nicaragua","Definitely endangered"
"Reyesano","Bolivia (Plurinational State of)","Critically endangered"
"Rhenish Franconian","Germany, France","Vulnerable"
"Riang","Myanmar","Critically endangered"
"Rigolet Inuktitut","Canada","Critically endangered"
"Rumai","Myanmar","Severely endangered"
"Samrai","Cambodia","Critically endangered"
"San Andres Creole","Colombia","Vulnerable"
"Sanapaná","Paraguay","Definitely endangered"
"Scanian","Denmark, Sweden","Vulnerable"
"Seneca (Canada)","Canada","Critically endangered"
"Siberian Tatar","Russian Federation","Definitely endangered"
"Sikïiyana","Suriname","Critically endangered"
"Siriano (Colombia)","Colombia","Definitely endangered"
"So-ng","Cambodia","Critically endangered"
"Sogoo","Kenya","Extinct"
"South Jutish","Germany, Denmark","Definitely endangered"
"Southern Paiute","United States of America","Severely endangered"
"Spiti","India, Pakistan","Vulnerable"
"Squamish","Canada","Critically endangered"
"Stieng","Cambodia","Severely endangered"
"Tacana","Bolivia (Plurinational State of)","Definitely endangered"
"Tagish","Canada","Critically endangered"
"Tailoi","Myanmar","Critically endangered"
"Tanimuca-Letuama","Colombia","Severely endangered"
"Tapieté","Argentina, Bolivia (Plurinational State of), Paraguay","Severely endangered"
"Tariana (Colombia)","Colombia","Critically endangered"
"Taruma","Guyana","Critically endangered"
"Tasnusit","Algeria","Severely endangered"
"Tat","Azerbaijan","Severely endangered"
"Tati","Iran (Islamic Republic of)","Definitely endangered"
"Tatuyo","Colombia","Definitely endangered"
"Tazy","Russian Federation","Severely endangered"
"Tempuan","Cambodia","Severely endangered"
"Toba-Maskoy","Paraguay","Severely endangered"
"Tolcha","India","Extinct"
"Touggourt Tamazight","Algeria","Severely endangered"
"Tucano (Colombia)","Colombia","Vulnerable"
"Tunisian Judeo-Arabic (Israel)","Israel","Severely endangered"
"Tuscarora (Canada)","Canada","Critically endangered"
"Tuyuca (Colombia)","Colombia","Definitely endangered"
"Udi (Georgia)","Georgia","Severely endangered"
"Unami","United States of America","Extinct"
"Upper Tanana (Canada)","Canada","Critically endangered"
"Urum","Georgia, Russian Federation, Ukraine","Definitely endangered"
"Wa","Myanmar","Severely endangered"
"Wanano / Kotiria (Colombia)","Colombia","Definitely endangered"
"Western Abenaki (Canada)","Canada","Critically endangered"
"Western Abenaki (United States of America)","United States of America","Extinct"
"Wichi","Argentina, Bolivia (Plurinational State of)","Vulnerable"
"Yaeyama","Japan","Severely endangered"
"Yazva Komi","Russian Federation","Severely endangered"
"Yiddish (Europe)","Germany, Austria, Belarus, Belgium, Denmark, Estonia, Finland, France, Hungary, Italy, Latvia, Lithuania, Luxembourg, Republic of Moldova, Norway, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Sweden, Switzerland, Czech Republic, Ukraine","Definitely endangered"
"Yonaguni","Japan","Severely endangered"
"Yucuna","Colombia","Definitely endangered"
"Yurutí (Colombia)","Colombia","Definitely endangered"
"Zangskari","India, Pakistan","Definitely endangered"
"Zidgali","Oman","Critically endangered"
