"Name in English","Countries","Degree of endangerment"
"Choctaw (Louisiana)","United States of America","Vulnerable"
"Choctaw (Mississipi)","United States of America","Vulnerable"
"Choctaw (Oklahoma)","United States of America","Vulnerable"
"Gawar-Bati","Pakistan, Afghanistan","Definitely endangered"
"Taruang","China, India, Myanmar","Vulnerable"
"Khaling","Nepal","Definitely endangered"
"Western Tarahumara","Mexico","Vulnerable"
"Nunavimmiutitut","Canada","Vulnerable"
"Woods Cree","Canada","Vulnerable"
"Phula (Viet Nam)","Viet Nam","Definitely endangered"
"Dol-po","Nepal","Definitely endangered"
"Helong","Indonesia","Severely endangered"
"Lisela","Indonesia","Vulnerable"
"Motuo Menba","China, India","Definitely endangered"
"Panamahka","Nicaragua","Vulnerable"
"Zuni","United States of America","Vulnerable"
"Mopán (Belize)","Belize","Severely endangered"
"Tulishi","Sudan","Severely endangered"
"Central Cuicatec","Mexico","Vulnerable"
"Ts'amay","Ethiopia","Definitely endangered"
"Phalura","Pakistan","Definitely endangered"
"Northern Popoloc","Mexico","Vulnerable"
"Ixcatlán Mazatec","Mexico","Vulnerable"
"Patla-Chicontla Totonac","Mexico","Severely endangered"
"Toram","Chad","Severely endangered"
"Northwestern Tlapanec","Mexico","Vulnerable"
"Dene","Canada","Vulnerable"
"Micmac (Massachusetts)","United States of America","Definitely endangered"
"Argobba","Ethiopia","Critically endangered"
"Austral dialects","French Polynesia (France)","Definitely endangered"
"Belanda Bor","Sudan","Definitely endangered"
"Feroge","Sudan","Vulnerable"
"Hachijō","Japan","Definitely endangered"
"Inga","Colombia","Severely endangered"
"Kanga","Sudan","Severely endangered"
"Lajia","China","Definitely endangered"
"Lakha","Bhutan","Definitely endangered"
"Mbya Guarani (Paraguay)","Paraguay","Definitely endangered"
"Mundurukú","Brazil","Vulnerable"
"Ojibwe","United States of America","Severely endangered"
"Quichua (Salasaca)","Ecuador","Definitely endangered"
"Rongpo","India","Vulnerable"
